time,factor,pi
5/11/22 8:22,10648,3.141498739
5/11/22 8:42,74088,3.141579156
5/11/22 8:51,132651,3.141600192
5/11/22 8:17,4913,3.141796195
5/11/22 8:30,27000,3.141555617
5/11/22 8:38,54872,3.141574429
5/11/22 8:02,8,3.017071817
5/11/22 8:16,4096,3.141348513
5/11/22 8:28,21952,3.1415471
5/11/22 8:18,5832,3.141421186
5/11/22 8:52,140608,3.141585542
5/11/22 8:14,2744,3.141228222
5/11/22 8:34,39304,3.141567211
5/11/22 8:41,68921,3.141607163
5/11/22 8:43,79507,3.141605231
5/11/22 8:47,103823,3.141602285
5/11/22 8:40,64000,3.141577029
5/11/22 8:00,1,4
5/11/22 8:44,85184,3.141580914
5/11/22 8:54,157464,3.141586303
5/11/22 8:55,166375,3.141598664
5/11/22 8:25,15625,3.141656654
5/11/22 8:19,6859,3.141738447
5/11/22 8:01,1,4
5/11/22 8:32,32768,3.141562136
5/11/22 8:56,175616,3.141586959
5/11/22 8:21,9261,3.141700633
5/11/22 8:46,97336,3.14158238
5/11/22 7:58,195112,3.141587528
5/11/22 8:39,59319,3.141609512
5/11/22 8:11,1331,3.142343968
5/11/22 8:09,729,3.142964395
5/11/22 8:20,8000,3.141467654
5/11/22 8:50,125000,3.141584654
5/11/22 8:37,50653,3.141612396
5/11/22 8:05,125,3.149592526
5/11/22 8:49,117649,3.141601153
5/11/22 8:10,1000,3.140592654
5/11/22 8:08,512,3.13963953
5/11/22 8:57,185193,3.141598053
5/11/22 8:53,148877,3.141599371
5/11/22 7:59,205379,3.141597523
5/11/22 8:13,2197,3.14204782
5/11/22 8:24,13824,3.141520316
5/11/22 8:33,35937,3.14162048
5/11/22 8:15,3375,3.14188895
5/11/22 8:03,27,3.178617011
5/11/22 8:45,91125,3.141603628
5/11/22 8:07,343,3.144508099
5/11/22 8:23,12167,3.141674843
5/11/22 8:35,42875,3.141615977
5/11/22 8:26,17576,3.141535758
5/11/22 8:36,46656,3.14157122
5/11/22 8:12,1728,3.14101395
5/11/22 8:27,19683,3.141643459
5/11/22 8:48,110592,3.141583611
5/11/22 8:29,24389,3.141633656
5/11/22 8:06,216,3.136963049
5/11/22 8:31,29791,3.141626221
5/11/22 8:04,64,3.125968607